Lang,CurrencyISO,CurrencyName,Money,Symbol
"ES","RON","Nuevo Leu","Leu","L"
"ES","PEN","Nuevo Sol","Sol","S"
"ES","MRO","Ouguiya","أوقية","U"
"ES","TOP","Pa'anga","Pa'anga","T"
"ES","MOP","Pataca","澳門圓","M"
"ES","ARS","Peso Argentino","Peso","$"
"ES","CLP","Peso Chileno","Peso","$"
"ES","COP","Peso Colombiano","Peso","C"
"ES","CUP","Peso Cubano","Peso","$"
"ES","DOP","Peso Dominicano","Peso","R"
"ES","PHP","Peso Filipino","Piso","₱"
"ES","GWP","Peso Guinea-Bissau","Peso","$"
"ES","MXN","Peso Mexicano","Peso","$"
"ES","UYU","Peso Uruguayo","Peso","$"
"ES","BWP","Pula","Pula","P"
"ES","QAR","Qatari Rial","ريال","ر"
"ES","GTQ","Quetzal","Quetzal","Q"
"ES","ZAR","Rand","Rand","R"
"ES","BRL","Real Brasileño","Real","R"
"ES","IRR","Rial Iraní","﷼","﷼"
"ES","OMR","Rial Omani","ريال","ر"
"ES","YER","Rial Yemení","ريال","ر"
"ES","KHR","Riel","Riel","r"
"ES","MYR","Ringgit de Malasia","ريڠڬيت","R"
"ES","SAR","Riyal Saudí","ريال","ر"
"ES","BYR","Rublo Bieloruso","Рубель","B"
"ES","RUB","Rublo Ruso","Рубль","р"
"ES","MVR","Rufiyaa","Rufiyaa","R"
"ES","IDR","Rupia","Rupia","R"
"ES","SCR","Rupia de Seychelles ","Rupia","S"
"ES","INR","Rupia Indú","Rupia","R"
"ES","MUR","Rupia Mauritius","Rupia","R"
"ES","NPR","Rupia Nepalesa","Rupia","N"
"ES","PKR","Rupia Pakistaní","Rupia","R"
"ES","LKR","Rupia Sri Lanka","Rupia","R"
"ES","ILS","Sheqel Israeli ","שקל","₪"
"ES","TZS","Shilling de Tanzania","Shilingi","/"
"ES","UGX","Shilling de Uganda","Shilling","U"
"ES","KES","Shilling Kenya","Shilling","K"
"ES","SOS","Shilling Somalí","Shilin","S"
"ES","KGS","Som","сом","с"
"ES","TJS","Somoni","Сомонӣ","С"
"ES","UZS","Sum Uzbekistán","Сўм","с"
"ES","BDT","Taka","টাকা","৳"
"ES","WST","Tala","Tālā","W"
"ES","KZT","Tenge","Теңгесі","〒"
"ES","MNT","Tugrik","Төгрөг","₮"
"ES","AED","UAE Dirham","درهم","د"
"ES","VUV","Vatu","Vatu","V"
"ES","KRW","Won","원","₩"
"ES","KPW","Won Nor-Coreano","원","₩"
"ES","JPY","Yen Japonés","日本円","¥"
"ES","CNY","Yuan Chino","人民币","¥"
"ES","PLN","Zloty","Złoty","z"
"FR","APN","Afghani","افغانۍ","؋"
"FR","AMD","arménienne Dram","Դրամ","դ"
"FR","AWG","Aruba Florin","Florijn","A"
"FR","THB","Baht","บาท ไทย","฿"
"FR","CAP","Balboa","Balboa","B"
"FR","BBD","Barbade Dollar","Dollar","B"
"FR","BYR","biélorusse Rouble","Рубель","B"
"FR","ETB","Birr éthiopien","Birr","B"
"FR","VEF","Bolivar Fuerte","Bolívar","B"
"FR","BOB","Boliviano","Boliviano","B"
"FR","BND","Brunei Dollar","Ringgit","B"
"FR","SGH","Cedi","Cedi","G"
"FR","SVC","Colon Salvadorien","Colón","₡"
"FR","NIO","Cordoba Oro","Córdoba","C"
"FR","KPW","Corée du Nord Won","원","₩"
"FR","CRC","Costa Rica Colon","Colon","₡"
"FR","EEK","Couronne","Kroon","K"
"FR","DKK","Couronne danoise","Krone","K"
"FR","ISK","Couronne islandaise","couronne","k"
"FR","NOK","Couronne Norvégienne","Krone","k"
"FR","SEK","couronne suédoise","Couronne","k"
"FR","CZK","Couronne tchèque","Couronne","K"
"FR","GMD","Dalasi","Dalasi","D"
"FR","MKD","Denar","Денар","д"
"FR","DZD","Dinar Algérien","دينار","د"
"FR","BHD","Dinar de Bahreïn","دينار","."
"FR","JOD","Dinar jordanien","دينار","د"
"FR","KWD","Dinar koweïtien","دينار","د"
"FR","LYD","Dinar libyen","دينار","ل"
"FR","RSD","Dinar serbe","Динар","д"
"FR","TND","Dinar Tunisien","دينار","د"
"FR","MAD","Dirham Marocain","درهم","د"
"FR","MST","Dobra","Dobra","D"
"FR","AUD","Dollar australien","Dollar","$"
"FR","DMO","Dollar bermudien","Dollar","B"
"FR","CAD","Dollar canadien","Dollar","$"
"FR","BZD","Dollar de Belize","Dollar","B"
"FR","FJD","Dollar de Fidji","Dollar","F"
"FR","HKD","Dollar de Hong Kong","香港 圆","H"
"FR","SGD","Dollar de Singapour","新加坡元","S"
"FR","TWD","dollar de Taïwan","新台币","$"
"FR","BSD","Dollar des Bahamas","Dollar","B"
"FR","XCD","Dollar des Caraïbes orientales","Dollar","E"
"FR","SBD","Dollar des Îles Salomon","Dollar","S"
"FR","ZWL","Dollar du Zimbabwe","Dollar","$"
"FR","GYD","Dollar Guyana","Dollar","G"
"FR","JMD","Dollar jamaïcain","Dollar","$"
"FR","LRD","Dollar libérien","Dollar","L"
"FR","NAD","Dollar Namibie","Dollar","N"
"FR","NZD","dollar néo-zélandais","Dollar","$"
"FR","SRD","Dollar Surinam","Dollar","$"
"FR","VND","Dong","Djong","₫"
"FR","AED","Emirats Arabes Unis Dirham","درهم","د"
"FR","CVE","Escudo du Cap Vert","Escudo","E"
"FR","EUR","Euro","Euro","€"
"FR","FIF","Franc Burundi","Franc","F"
"FR","XOF","Franc CFA","Franc","C"
"FR","XAF","Franc CFA","Franc","C"
"FR","XPF","Franc CFP","Franc","F"
"FR","CDF","Franc Congolais","Franc","F"
"FR","DJF","Franc de Djibouti","الفرنك","F"
"FR","KMF","Franc des Comores","Franc","F"
"FR","CHF","franc suisse","Franc","F"
"FR","HTG","Gourde","Gourde","G"
"FR","PYG","Guarani","guarani","₲"
"FR","GNF","Guinée Franc","Franc","F"
"FR","PRG","Guinée-Bissau Peso","Peso","$"
"FR","HUF","Hongrie Forint","Forint","F"
"FR","UAH","Hryvnia","Гривня","₴"
"FR","KYD","Îles Caïmans Dollar","Dollar","$"
"FR","FKP","Îles Falkland Pound","Livre","£"
"FR","IQD","irakienne Dinar","دينار","ع"
"FR","ILS","israëli sheqel","שקל","₪"
"FR","JPY","Japon Yen","日本 円","¥"
"FR","PGK","Kina","Kina","K"
